date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,6.0,0.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,8.0,1.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,50.0,42.0,6.714,1.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,51.0,1.0,6.429,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,57.0,6.0,7.286,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,57.0,0.0,7.286,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,57.0,0.0,7.143,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,58.0,4.0,7.714,2.0,1.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,62.0,4.0,8.143,2.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,139.0,77.0,13.143,3.0,1.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,218.0,79.0,24.286,4.0,1.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,311.0,93.0,36.714,6.0,2.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,459.0,148.0,57.857,17.0,11.0,2.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,590.0,134.0,77.0,18.0,1.0,2.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,865.0,275.0,115.714,26.0,8.0,3.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,1338.0,473.0,182.714,42.0,16.0,5.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,2035.0,700.0,271.714,56.0,14.0,7.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,2825.0,790.0,373.286,82.0,26.0,11.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,4600.0,1779.0,614.143,131.0,49.0,17.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,6089.0,1490.0,805.857,133.0,2.0,16.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,7845.0,1756.0,1037.571,171.0,38.0,21.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,9858.0,2013.0,1285.857,213.0,42.0,26.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,11970.0,2116.0,1520.571,260.0,47.0,31.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,14575.0,2608.0,1793.143,363.0,103.0,43.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,17411.0,2836.0,2085.429,427.0,64.0,49.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,20666.0,3255.0,2296.286,494.0,67.0,51.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,24600.0,3938.0,2646.0,566.0,72.0,61.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,28318.0,3718.0,2926.286,636.0,70.0,66.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,31474.0,3160.0,3090.143,721.0,85.0,72.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,34879.0,3405.0,3274.286,808.0,87.0,78.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,37541.0,2665.0,3282.429,908.0,100.0,77.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,40535.0,2994.0,3305.0,1015.0,107.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,43019.0,2484.0,3194.857,1115.0,100.0,88.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,45054.0,2035.0,2923.0,1120.0,5.0,79.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,60214.0,15160.0,4557.571,1373.0,253.0,105.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,64290.0,4076.0,4688.429,1525.0,152.0,114.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,66949.0,2662.0,4582.286,1669.0,144.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,68986.0,2037.0,4492.571,1773.0,104.0,123.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,71045.0,2062.0,4359.429,1871.0,98.0,122.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,72955.0,1910.0,4277.429,2010.0,139.0,127.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,74761.0,1806.0,4244.714,2123.0,113.0,143.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,75188.0,427.0,2140.0,2248.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,76209.0,1021.0,1703.571,2249.0,1.0,103.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,77273.0,1064.0,1475.286,2458.0,209.0,112.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,78248.0,975.0,1323.571,2463.0,5.0,98.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,78777.0,529.0,1104.571,2622.0,159.0,107.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,79616.0,841.0,951.857,2701.0,79.0,98.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,80473.0,861.0,816.857,2763.0,62.0,91.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,81556.0,1083.0,910.571,2805.0,42.0,79.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,82930.0,1378.0,961.571,2867.0,62.0,88.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,84703.0,1773.0,1062.857,2932.0,65.0,67.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,86497.0,1794.0,1179.857,2978.0,46.0,73.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,88161.0,1669.0,1342.714,3045.0,67.0,60.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
