,sarimax,prophet,general forecast
2023-05-09,17644.68145354694,133806.42094925474,23357.633
2023-05-10,24995.33927733699,155317.42528182679,27741.164
2023-05-11,14089.112029237675,115211.28718835836,19958.03
2023-05-12,24434.917842908762,129016.2391088451,23554.998
2023-05-13,87257.59839758121,105459.58226632269,24201.398
2023-05-14,48666.29505840649,246536.58752088863,45285.473
2023-05-15,10426.983180239602,243371.52990195368,39466.117
2023-05-16,16367.42138025886,56653.22868446955,11128.787
2023-05-17,22845.37916940531,64437.16898786806,13246.686
2023-05-18,13738.541635484222,69016.30457866818,12693.762
2023-05-19,19760.880109014008,88734.53293622025,16612.295
2023-05-20,66452.60028004787,23741.244905647414,34835.52
2023-05-21,39604.65593449183,181246.93738400817,33825.65
2023-05-22,7855.696117642615,192744.06924437426,31200.271
2023-05-23,10593.345121220374,32056.05637511493,6482.755
2023-05-24,20150.320405028768,57765.691248332514,11829.333
2023-05-25,10700.862946927215,82811.79754333834,14425.546
2023-05-26,18801.344451502253,87864.44925875207,16342.773
2023-05-27,64314.31340340234,51964.08278319178,23357.95
2023-05-28,39908.194102596666,271669.9937100799,47991.59
2023-05-29,8619.534069137539,275093.9070965921,44169.312
2023-05-30,10713.858647892952,82527.6301554706,14382.97
2023-05-31,20947.225621621117,112430.23782474743,20478.662
2023-06-01,12177.872340851089,120774.6617037529,20560.857
2023-06-02,19916.58797809959,143748.44962240773,25226.904
2023-06-03,64813.72129382198,113149.13422361609,25922.1
2023-06-04,43161.883574454725,340079.7305346042,59129.965
2023-06-05,9534.234168263725,342758.4603526079,54865.59
2023-06-06,11474.684635006071,147235.45112030912,24595.99
2023-06-07,21039.662449529726,147797.1308151845,26015.682
2023-06-08,12453.170425205053,126042.42218710612,21421.99
2023-06-09,19816.384446953798,130808.2945284304,23191.758
2023-06-10,63228.13866110025,67819.46540937643,16305.979
2023-06-11,43678.211578034556,287750.2487705488,51028.246
2023-06-12,10421.212070298461,316762.3603827094,50928.637
2023-06-13,12095.812630133907,90802.44316587028,15867.9
2023-06-14,21581.023936075624,78621.1728776031,15286.097
2023-06-15,13323.642972943671,83404.24804184322,14883.318
2023-06-16,20665.220582056816,83865.30776885725,15977.678
2023-06-17,61944.35896622642,6121.300674940821,37320.375
2023-06-18,45056.61899933613,213024.30875964087,39548.336
2023-06-19,11054.21360818026,189542.25227192967,31145.568
2023-06-20,12039.791637813702,0.0,7604.8257
2023-06-21,21349.956900432273,0.0,13484.883
2023-06-22,13660.630317101575,0.0,8628.505
2023-06-23,20504.044812490076,0.0,12950.627
2023-06-24,60056.69635992072,0.0,37931.05
2023-06-25,45305.94623495556,71506.47087652705,16388.738
2023-06-26,11630.613982350209,43695.57175104323,8445.239
2023-06-27,12050.355802209704,0.0,7611.4966
2023-06-28,21156.58002409676,0.0,13362.751
2023-06-29,13987.300398466772,0.0,8834.821
2023-06-30,20389.40499973514,0.0,12878.223
2023-07-01,58205.74611307265,0.0,36762.04
2023-07-02,45417.62919707875,5961.126407914121,26917.473
2023-07-03,12180.929331076562,13838.64044193011,3273.0845
2023-07-04,12033.87873424447,0.0,7601.091
2023-07-05,20899.933954452845,0.0,13200.662
2023-07-06,14257.496558231325,0.0,9005.47
2023-07-07,20187.137675881062,0.0,12750.476
2023-07-08,56333.23797459475,0.0,35579.41
2023-07-09,45383.336177594625,0.0,28663.736
2023-07-10,12677.273596324501,0.0,8007.4424
2023-07-11,12027.626475353449,0.0,7597.143
2023-07-12,20609.346125018797,0.0,13017.133
2023-07-13,14539.484348630234,0.0,9183.566
